eTFC1	eTFC2	eTFC3	eTFC4	eTFC5	eTHC1	eTHC2	eTHC3	eTHC4	eTHC5	lTFC1	lTFC2	lTFC3	lTFC4	lTFC5	lTHC1	lTHC2	lTHC3	lTHC4	lTHC5
WNT7B	0.184837398783	-0.618225983057696	-0.131676351890795	-0.0920369280464897	0.65710186421198	0.251625097461761	-0.101035345768346	-0.336666475310132	-0.0821118592198586	0.268188582836576	-0.377442623280582	-0.556818151046388	-0.353037311805881	0.395025305193331	0.89227278093952	0.000863259759528834	-0.494724433346981	-0.157549067507867	0.244092381840241	0.407317859255079
WNT7A	-0.115252023140189	-0.644274111893581	-0.366330232250905	0.222060774356231	0.903795592928444	-0.278936341819204	-0.346905201165787	-0.165579740685323	0.59011594692952	0.201305336740794	-0.593437235752047	-0.571354219706264	-0.417337215603458	0.163890288968826	1.41823838209294	-0.0182161818242692	-0.765638051548611	-0.409618473004295	0.419809362349501	0.773663344027674
WNT5B	-0.988158464715295	-0.236375557855686	0.532637812620553	0.333659276828005	0.358236933122424	-0.320771106216812	-0.170968763208382	0.373547076728315	0.248021535163401	-0.129828742466522	0.989936404192552	0.427825396149505	0.22502194415164	-0.282642719065328	-1.36014102542837	0.834557783293951	0.151027214629551	-0.0279122857357148	-0.526681989729634	-0.430990722458153
WNT5A	-2.27923217539866	-0.0195448253303816	0.917143067696532	1.16079875362865	0.220835179403863	-2.19136686012	-0.439104674931183	0.761850158361458	1.20738218319506	0.661239193494659	-2.27505116796678	-1.90046525907702	0.0205407569100373	2.02876694644356	2.1262087236902	-1.67097599773758	-1.19711528714716	0.116459092500996	1.5383994438643	1.21323274851945
WNT4	-0.0279350863672558	-0.354781499212965	-0.0912988216641022	-0.174080737629074	0.648096144873397	0.321567528975995	-0.146210892775351	-0.340012205797596	0.151254830505802	0.0134007390911508	0.111106009252119	0.403033273985943	-0.723063185357782	0.24966754353892	-0.0407436414192022	-0.104245656881472	0.242148973760396	-0.462196708342002	0.150489353839836	0.173804037623243
WNT3	0.1955465289732	-0.257657175177683	0.0569299406126058	-0.248607317266404	0.253788022858282	0.0224077199281725	-0.091750159728023	-0.11501703046433	-0.36775395184908	0.552113422113261	-1.24893532635547	-1.35637317848519	-0.721185187539762	0.816870507715908	2.50962318466452	-0.996021885431977	-1.44375191505807	-0.0934584049101819	0.873471535698281	1.65976066970194
WNT2B	0.459038321703444	0.0505765035818606	0.191300216527735	-0.654705332637227	-0.0462097091758125	0.227161648570414	-0.312651511165103	-0.394596102408173	-0.702967953303674	1.18305391830654	-0.141289440843257	0.298092941322359	-0.292990790952426	-0.071789611809201	0.207976902282525	-0.505774406888663	-0.0993912274126614	-0.0787675927174285	0.173181842837478	0.510751384181276
WNT2	0.384619414121326	0.296505801216899	-0.0757298004490154	0.244576646741666	-0.849972061630876	0.325310678466407	0.404971970394349	-0.362661747025701	-0.338261865486779	-0.0293590363482763	0.228367924809811	0.425580770887751	-0.64662228519541	-0.201262445408056	0.193936034905903	-0.100031643636176	-0.977923923589609	-0.977941105200689	0.218595940349514	1.83730073207696
WNT16	-0.00550281773877526	0.753080942875334	0.849535597345511	0.151940887606381	-1.74905461008845	0.526848572693504	-0.313949338492606	0.503405972637316	0.216760297833522	-0.933065504671736	0.0758863036542774	0.202903917257975	0.198844346728251	0.171412864674519	-0.649047432315022	-0.247878504896244	0.195879247211258	0.111685151087331	0.19701295804882	-0.256698851451165
WNT11	-0.0238229570530084	0.173527834107172	0.894453688392118	-0.151993394781566	-0.892165170664716	-0.931111451287366	0.22463728388757	0.785321652053431	-0.164960381281404	0.0861128966277711	0.494303132033217	0.432786839265138	0.792507323883997	-0.623794509042654	-1.0958027861397	1.22386151085532	-0.217098099902397	-0.0160560481979832	-1.61216105388058	0.621453691125646
