eCFC2	eCFC3	eCFC4	eCHC1	eCHC2	eCHC3	eCHC4	lCFC2	lCFC3	lCFC4	lCHC1	lCHC2	lCHC3	lCHC4
ZDHHC13	-0.230228400786766	0.0535245896641605	0.176703811122604	-0.104802302478862	-0.0699556544527367	0.22116194785908	-0.0464039909274812	0.114601670957811	-0.0709318955524951	-0.0436697754053164	0.279269933344758	-0.0852235637413585	-0.195418986917224	0.00137261731382488
ZC3H7A	-0.279160798088451	-0.0498733493620804	0.329034147450534	-0.209290645302627	-0.338079130991726	0.24911760391905	0.298252172375303	0.696359913865789	-0.44643018603759	-0.249929727828201	0.313123621337338	0.213061954989159	-0.472882275093733	-0.0533033012327664
ZC3H18	-0.113564067945031	0.299829367152984	-0.186265299207951	-0.269938979944831	0.617543086384766	-0.0976842968601055	-0.249919809579833	1.73578709838391	-1.12926774956372	-0.606519348820191	0.0127788452861655	0.000807685925703794	-0.543288480581491	0.52970194936962
ZBTB34	-0.125225746530389	0.0492984136255572	0.0759273329048318	0.0643408557544793	-0.525715553603016	0.338588785645582	0.122785912202955	-0.37581416718874	0.024989850475186	0.350824316713553	0.46670571984296	0.111360605536016	-0.519907615018422	-0.058158710360555
ZBTB20	0.0761956280464253	0.222641591801837	-0.298837219848262	-0.140893467511805	-0.140893467511805	0.422680402535414	-0.140893467511805	-0.170623086612286	0.0478016680151065	0.122821418597179	-0.146269931952174	-0.0469879731418793	0.182178641176049	0.0110792639180044
ZBTB17	0.371024077157747	0.0255331324468901	-0.396557209604635	-0.200562172981466	0.622366614989602	0.16103219805254	-0.582836640060676	2.28041070744328	-1.18625701307192	-1.09415369437137	-0.0155383011394337	0.113610236956298	-0.122732851057687	0.0246609152408208
YWHAZ	0.723291558701611	0.00921895070504064	-0.732510509406662	-0.687176429752256	0.772066950613613	-0.0252397526714674	-0.0596507681898757	-1.09900637856552	0.805385190212732	0.293621188352784	-0.333829572081733	-0.0233066060605971	-0.153304942664864	0.510441120807194
YWHAQ	0.10635354642838	-0.220315048334527	0.113961501906147	-0.15576618532927	0.0618891306166702	-0.314415159337024	0.408292214049617	-1.4297935166757	0.771095667133679	0.65869784954203	-0.580184557929876	-0.26065647143572	-0.0374510465607756	0.878292075926367
YWHAH	0.515169344655561	-0.182860133340409	-0.332309211315149	0.20323826086409	-0.0265661935082484	-0.571846157285371	0.395174089929522	0.159251351528997	0.125403726604162	-0.284655078133156	-0.229734484439874	0.56993922381454	-0.233298308002578	-0.106906431372092
YWHAE	-0.0190923052774146	0.732675078174271	-0.713582772896853	-0.616250047952729	0.818464094959729	-0.930726495619666	0.728512448612658	-1.08552890268703	0.65827184573148	0.427257056955554	1.11210035930801	-4.13976183694706	1.13388457177986	1.89377690585919
YBX1	3.03518541478138	0.160491183217701	-3.1956765979991	1.03251237893978	4.39309695604744	-4.64483620628272	-0.780773128704539	-4.36396481325389	0.555683216375215	3.80828159687867	-0.217859217515226	0.737412090462882	0.769045700804043	-1.28859857375171
YARS	-0.07416876881768	0.28003033771957	-0.205861568901891	-0.00707899343068163	0.320852229223025	-0.284284772892299	-0.0294884629000407	0.27996209196705	-0.121422325509531	-0.158539766457517	-0.101619805098847	0.38253567774256	-0.152490947500125	-0.128424925143587
