data$Gene	MmFC1	MmFC2	MmFC3	MmFC4	MmFC5
ARPC4	111.780110576512	104.963300871379	105.403035112526	116.384872734748	109.916435643226
PIH1D2	2.67709947499309	2.55390180547931	2.71643913277362	2.06018610042237	2.98896820101806
ITFG2	45.0284344459943	39.6937550626381	40.3220163848698	40.1600043305892	44.1671037607898
NOB1	78.5897735545651	76.2749744679144	78.1040175118865	81.4123901390146	83.9354079435765
PSMG2	40.1627554148097	41.4076956146951	42.3273138375398	44.7476607537326	43.249661804059
PROK2	0.674952427665143	1.44646304350693	1.63295406493827	1.61811528780698	0.561448730723484
PARP11	60.7477953399086	64.1524985754983	64.4906579500651	59.5160752878849	55.6326214558007
CASP6	68.9685366398853	70.0160706903435	65.8466814096376	69.498051206351	67.8063674551976
CD72	0.753956886004817	0.313183324674663	0.16387563247795	0.170965091023164	0.0736330681890874
MVB12A	27.6628894068403	28.7834119235286	27.3754308070763	31.3473222725168	28.4279410681988
SLC25A36	287.873909315383	330.236922148736	328.764753358473	274.734882962262	257.387843037422
GM6169	0.0775077324533389	0	0	0	0
HAPLN3	1.52594422993374	1.44315359934257	1.39091062360884	1.5774657066978	1.77863645835522
PRL5A1	0	0	0	0.0146261215873557	0
RNASEH2B	44.6581776189297	42.8143317819571	41.5701331443309	46.7399575608611	46.4804516485797
MCAM	75.8125206445426	87.2132970714096	99.3242824493661	90.4998901398973	74.1323546011558
SNU13	149.72602732756	148.510844018141	144.015864113361	155.696898795594	156.782533691664
CLDN16	0.169691700745536	0.0395831591469767	0	0.0547274939088926	0
TPH1	0.529135705116691	0.263904051888694	0.174520948862168	0.117840327297462	0.173480067629776
GGA3	82.8015348931289	73.6281502763916	69.9043257385216	59.5028548573049	71.1834766298908
LARP7	109.411619984225	111.475730058092	114.36691159257	111.863538305586	114.96622692016
PGLS	79.4925955685496	74.1206543949643	68.0429301483199	82.3747948378814	76.7441944778822
APBB1	76.379734598261	73.0608350577747	71.0417359519342	77.9983418785445	75.2963932141202
SARNP	100.345023509353	114.390941588974	108.005584957003	106.934967561975	112.290072724977
GM5150	0	0	0	0	0
ENDOG	5.26691366802053	5.20606024352668	4.7588918246745	5.80887595536631	6.15648435539929
WSB2	59.9511233947989	57.6596494007324	61.9171350939677	64.1526999084406	54.4992766562152
SSBP1	83.6609473762763	82.2553700923384	84.5570972562739	80.0741769690238	85.7099805545541
TMEM159	18.3122731378191	18.1098914913925	17.8545433685413	19.8284136990308	18.4064518893317
ATP6V0D1	88.6616027527998	76.834239398974	75.9745103491084	85.2432873701838	80.1222587793071
BC005624	50.0448281909743	52.341140054702	52.6979876298823	51.4355855244385	50.7053719435756
EIF2AK3	47.2333889014993	50.5156415434313	46.5116608712046	43.8759899808328	44.7745606584049
ENSA	192.10689999731	205.5272682202	207.042620350258	203.860758475892	205.027179058793
CMTM8	4.67310661603206	8.16988620949471	9.5912031251387	8.75033493935121	10.5683993458431
CETN4	3.8840441137954	3.0263222729115	3.31428668927375	3.89312595876529	2.56450628886752
PPEF1	0.775979845293375	0.940416483366943	0.828527399500473	0.950342996377084	1.02114051778633
UBE2V2	100.521538174845	111.919044364143	107.61624253679	99.6796421468399	103.319456607837
KCTD3	117.366720984041	111.161388571795	112.161381186416	111.80515007644	114.638138670954
FANCL	31.165551421189	32.8900030112594	32.8884798642953	31.8890087191537	31.6928851779358
TACC3	192.224620444913	188.889551014059	182.507441562179	165.795158788022	205.971359005297
GM732	0	0	0	0	0
PPM1J	1.99607572602477	1.85495637218706	1.93569650914684	1.92201165934028	1.82890188295349
RAB3B	7.63475132211371	12.9058296718458	16.4353323529917	14.0886024880207	8.25603409786389
TCIRG1	52.4705790081535	43.8949109775285	43.2128184657533	39.7153768731172	39.5391975165618
ALDH1A3	13.7529151043393	5.36900811793041	3.14271305684645	4.11062689153873	4.33760079158425
PRPF18	88.6911282066059	98.3971814112051	94.8365212781677	96.4606875891192	99.6199318606056
OLFR630	0	0	0	0	0
TMEM254C	0	0	0	0	0
PPIL6	0.422692350252247	0.500003296162523	0.698969752542873	0.410479777764945	0.356703277941099
PMVK	25.7189917943108	25.596009517087	25.323291767829	27.1814442659805	30.5438635626263
NT5C3	42.4970562367093	36.0558329455105	37.7644737460777	36.4001824475818	34.7951778346457
OSTC	180.360284039204	176.555927785719	166.584091207955	190.342731415619	187.176495010168
MOGAT2	9.20406207624874	4.84543184395217	5.14989914863855	4.6442550891142	2.72479539614562
ACNAT2	0	0	0	0	0
MAGEB1	0	0	0	0	0
HADHA	225.162144548101	220.586685288904	224.388808338295	226.27626687029	212.952741959368
ADAMTSL2	20.8344339661924	21.6278165572088	28.1247278453118	22.4106117014595	17.6702611557624
SLC7A12	0	0	0	0	0
MRGPRA9	0.0138354645539808	0.0532797165769756	0	0	0
EXOSC9	53.9383347258291	59.1053799682121	59.0036432219431	56.7151618494138	56.3386047453086
6030468B19RIK	0	0	0.118082424620604	0.00842097876623736	0.0108900449352203
CABP1	4.99299920568607	2.38122131910905	1.87845947143512	2.52898224050476	2.34225120563339
GRXCR1	0	0	0	0	0
OLFR561	0	0	0	0	0
HMOX2	73.2377254979226	79.4170776644475	75.3592788608793	84.2547344721226	76.6016956215735
KCNU1	1.86750383742974	2.16821700432782	2.04398146699142	1.66071863066088	1.49543265805521
RNASE6	0.617119748958667	0.247020211890892	0.162041203756182	0.131735816080264	0.0786690373646601
TEX33	0	0	0	0	0
PSMC3IP	27.6985735977391	26.3767455831229	23.7949882732743	25.2543572680743	30.5344094638985
NIPAL3	20.0068820341666	26.060420620887	23.7015040199942	25.757516495744	23.6294701774187
PWP1	94.0224817199394	93.1703614886188	98.7023548702279	101.696947117331	99.5639264840705
ZAP70	0.28257115337832	0.362494856509057	0.562136203552909	0.398300024831392	0.588135242668853
DENND4B	41.2713898839601	37.4900468933991	38.1561303623015	37.30533944469	34.9221700439424
CNTF	0.530800274269411	0.84931237339017	0.904289949335957	0.508516283634313	0.7957533147073
KLRA1	0	0	0	0	0
MOCS2	51.8542736655698	55.4073839118664	54.9060086816372	53.7424321883804	54.1921766307532
CMA1	2.27100036439056	2.51367732560996	1.05787989890898	0.664181770806839	0.709844397145002
AKR1A1	482.716228239826	491.985614278458	472.840055579156	527.112185729632	486.066873537942
LFNG	14.8336389178973	16.4588225035023	13.3917321595263	15.1915388443083	13.6950388043571
C1QC	24.0882342608666	8.69673235546399	8.67698394028606	10.4912836686181	5.60493537397082
REXO2	31.4562239755814	30.5187063394952	31.5903690161635	32.2238699260331	31.5742614131122
TSPAN10	0	0	0	0	0.0108495238377869
EIF3G	135.1277187868	130.960292373674	126.410061385163	142.577649562052	145.363769778703
P2RX5	0.189389480885466	0	0.069629558352004	0.155770567458979	0.0350188248628548
H2AZ2	218.477317606683	219.616504772098	204.352149883269	225.358778901086	239.391672058475
TMEM70	50.6808652983635	50.9464479749045	49.2405971291114	50.4636391017381	53.6287019112813
AKR1B10	9.4491098316283	13.2150035967759	10.6340213564426	10.2223816352048	13.6451841261018
CHD4	928.950517182121	899.442492409475	972.363063931193	898.193033610825	920.842330151009
PFDN1	67.6392219276863	68.4208626388579	66.5667774234389	70.5018795569763	69.7936035546027
CRYBA1	0	0.0389953813777409	0	0.00837017935836679	0
RAB38	7.5664718140309	9.75607440887442	8.52193628018	9.59052238209193	10.2076670430513
CLEC2M	0	0	0	0	0
STAM2	71.0059667144633	70.0230093187995	73.090073834644	65.9888168382962	62.8985079069055
